candidate_id,selection_reason,platform,arch,noc,model,bs,minibatch,seq,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,max_activation/GiB,mem_weight/GiB,kv_cache/GiB,kv_len_1,kv_len_2,kv_len_3,kv_len_4,paper_utps_avg,paper_stps_avg,stats_run_id
c72141838194e83c,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,DeepSeekV3,1,1,1,8,4,1,1,1,1,1,False,1,replace_only,0.0022144317626953,24.1836042404175,0.134033203125,1024,1365,1707,2048,56.9611477104218,56.9611477104218,DeepSeekV3_H100_SCALED_h100x32_strong_ca13342413
d79fdc850d8e6bfa,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,DeepSeekV3,1,1,1,8,4,1,1,1,1,1,False,1,replace_only,0.0022144317626953,24.1836042404175,0.134033203125,1024,1365,1707,2048,72.5227644369236,72.5227644369236,DeepSeekV3_H200_SCALED_h100x32_strong_51139a445b
099afb5ebb22ef57,global_best_deepstack,DeepStack,stacked_gpu_large_matrix,strong_torus_mesh_switch_4,DeepSeekV3,1,1,1,32,8,1,1,1,1,1,False,1,none,0.0022015571594238,4.14651942253113,0.134033203125,1024,1365,1707,2048,95.5144518498007,95.5144518498007,DeepSeekV3_stacked_gpu_large_matrix_strong_torus_mesh_switch_4_aee5b1115d
4ba4e3b6fb40ed6d,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,DeepSeekV3,16,16,1,8,4,4,1,1,1,1,False,1,replace_only,0.0088577270507812,24.1836042404175,0.5361328125,1024,1365,1707,2048,53.9869789663236,863.791663461177,DeepSeekV3_H100_SCALED_h100x32_strong_dcb9bac284
2c8cccc312247ae8,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,DeepSeekV3,16,16,1,8,4,4,1,1,1,1,False,1,replace_only,0.0088577270507812,24.1836042404175,0.5361328125,1024,1365,1707,2048,66.790372770677,1068.64596433083,DeepSeekV3_H200_SCALED_h100x32_strong_c8b52b06f0
4105eec3c73d801d,global_best_deepstack,DeepStack,stacked_gpu_high_l1,torus_mesh_switch_8,DeepSeekV3,16,16,1,8,32,16,1,1,1,1,False,1,none,0.0022144317626953,5.44971752166748,0.134033203125,1024,1365,1707,2048,85.1907234327213,1363.05157492354,DeepSeekV3_stacked_gpu_high_l1_torus_mesh_switch_8_bf39e9ea79
1131083d7c4b7478,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,DeepSeekV3,64,64,1,4,8,8,1,1,1,1,False,1,replace_only,0.017852783203125,25.6339321136475,1.072265625,1024,1365,1707,2048,54.9589713846065,3517.37416861482,DeepSeekV3_H100_SCALED_h100x32_strong_c81b9af907
b0d2e7cb8b843e08,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,DeepSeekV3,64,64,1,4,8,8,1,1,1,1,False,1,replace_only,0.017852783203125,25.6339321136475,1.072265625,1024,1365,1707,2048,67.4525430270085,4316.96275372854,DeepSeekV3_H200_SCALED_h100x32_strong_f1200a5e97
2c0993ac1ac1ec7f,global_best_deepstack,DeepStack,stacked_gpu_high_l1,torus_mesh_switch_8,DeepSeekV3,64,64,1,8,32,32,1,1,1,1,False,1,none,0.0044288635253906,5.44971752166748,0.26806640625,1024,1365,1707,2048,83.463977752295,5341.69457614688,DeepSeekV3_stacked_gpu_high_l1_torus_mesh_switch_8_67669654a0
4796071869695d57,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,DeepSeekV3,128,128,1,4,8,8,1,1,1,1,False,1,replace_only,0.03570556640625,25.6339321136475,2.14453125,1024,1365,1707,2048,50.7297819052345,6493.41208387001,DeepSeekV3_H100_SCALED_h100x32_strong_7dfbae8d40
fc29bfe3ffb50e07,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,DeepSeekV3,128,128,1,4,8,8,1,1,1,1,False,1,replace_only,0.03570556640625,25.6339321136475,2.14453125,1024,1365,1707,2048,58.3258721974803,7465.71164127748,DeepSeekV3_H200_SCALED_h100x32_strong_65a8cdac38
3406e5eee05ef511,global_best_deepstack,DeepStack,stacked_gpu_high_l1,torus_mesh_switch_8,DeepSeekV3,128,128,1,4,64,64,1,1,1,1,False,1,none,0.0044631958007812,7.19740867614746,0.26806640625,1024,1365,1707,2048,71.141775569742,9106.14727292698,DeepSeekV3_stacked_gpu_high_l1_torus_mesh_switch_8_089ba1d923
3b94869216c15f61,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,DeepSeekV3,256,256,1,2,16,16,1,1,1,1,False,1,replace_only,0.0362548828125,28.5691947937012,2.14453125,1024,1365,1707,2048,46.4076352060646,11880.3546127525,DeepSeekV3_H100_SCALED_h100x32_strong_bd30942437
d87985c55a73ce57,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,DeepSeekV3,256,256,1,2,16,16,1,1,1,1,False,1,replace_only,0.0362548828125,28.5691947937012,2.14453125,1024,1365,1707,2048,51.9099073709412,13288.936286961,DeepSeekV3_H200_SCALED_h100x32_strong_8c27d93284
26bf02269ae93570,global_best_deepstack,DeepStack,stacked_gpu_high_l1,torus_mesh_switch_8,DeepSeekV3,256,256,1,4,64,64,1,1,1,1,False,1,none,0.0089263916015625,7.19740867614746,0.5361328125,1024,1365,1707,2048,62.5770909671803,16019.7352875982,DeepSeekV3_stacked_gpu_high_l1_torus_mesh_switch_8_fa29915ce8
3a786c55338a9a82,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,DeepSeekV3,512,512,1,1,32,32,1,1,1,1,False,1,none,0.037353515625,34.5781478881836,2.14453125,1024,1365,1707,2048,38.5356407672229,19730.2480728181,DeepSeekV3_H100_SCALED_h100x32_strong_1bbb5ac2b5
68310d0920afbc41,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,DeepSeekV3,512,512,1,1,32,32,1,1,1,1,False,1,none,0.037353515625,34.5781478881836,2.14453125,1024,1365,1707,2048,42.5476199470304,21784.3814128796,DeepSeekV3_H200_SCALED_h100x32_strong_ade18e42cd
e7eed9b35815ea3d,global_best_deepstack,DeepStack,stacked_gpu_wgmma,torus_mesh_switch_8,DeepSeekV3,512,256,1,8,16,16,1,1,1,1,False,2,replace_only,0.035430908203125,5.02852725982666,2.14453125,1024,1365,1707,2048,55.3407301577231,28334.4538407542,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_8_41f70a1612
7efe2ebe812580b8,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,DeepSeekV3,1024,1024,1,2,16,16,1,1,1,1,False,1,replace_only,0.14501953125,28.5691947937012,8.578125,1024,1365,1707,2048,29.2587522207526,29960.9622740507,DeepSeekV3_H100_SCALED_h100x32_strong_3ee5dfa668
844ee4188d64f001,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,DeepSeekV3,1024,1024,1,1,32,32,1,1,1,1,False,1,none,0.07470703125,34.5781478881836,4.2890625,1024,1365,1707,2048,30.7148031898805,31451.9584664376,DeepSeekV3_H200_SCALED_h100x32_strong_2a59c8b53a
b0d1de8a70e82fcf,global_best_deepstack,DeepStack,stacked_gpu_high_l1,torus_mesh_switch_8,DeepSeekV3,1024,512,1,4,32,32,1,1,1,1,False,2,replace_only,0.03570556640625,5.78294563293457,2.14453125,1024,1365,1707,2048,39.7971967966921,40752.3295198127,DeepSeekV3_stacked_gpu_high_l1_torus_mesh_switch_8_4414f34906
f686305aad82faa2,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,Llama3_405b,1,1,1,32,1,1,1,1,1,1,False,1,none,0.0002756118774414,17.2434005737305,0.03076171875,1024,1365,1707,2048,25.0574143832608,25.0574143832608,Llama3_405b_H100_SCALED_h100x32_strong_2c15686036
4da56b6e35adb183,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,Llama3_405b,1,1,1,32,1,1,1,1,1,1,False,1,none,0.0002756118774414,17.2434005737305,0.03076171875,1024,1365,1707,2048,31.0919030305016,31.0919030305016,Llama3_405b_H200_SCALED_h100x32_strong_ad888878bc
dfc43ef2c474020d,global_best_deepstack,DeepStack,stacked_gpu_high_l1,torus_mesh_switch_8,Llama3_405b,1,1,1,256,1,1,1,1,1,1,False,1,none,0.0001220703125,2.18824291229248,0.00384521484375,1024,1365,1707,2048,86.8559700501201,86.8559700501201,Llama3_405b_stacked_gpu_high_l1_torus_mesh_switch_8_e6d5d149b7
a5cf15e532a0a595,global_best_h100_scaled,H100_SCALED,H100_SCALED,h100x32_strong,Llama3_405b,16,16,1,32,1,1,1,1,1,1,False,1,none,0.0044097900390625,17.2434005737305,0.4921875,1024,1365,1707,2048,22.6568634108491,362.509814573585,Llama3_405b_H100_SCALED_h100x32_strong_1d68f504d2
9e5a589a48f03531,global_best_h200_scaled,H200_SCALED,H200_SCALED,h100x32_strong,Llama3_405b,16,16,1,16,1,1,1,1,1,2,False,1,none,0.0041656494140625,34.8242034912109,0.4921875,1024,1365,1707,2048,25.9375870192669,415.001392308271,Llama3_405b_H200_SCALED_h100x32_strong_6fb127f345
39f02cd875b6025b,global_best_deepstack,DeepStack,stacked_gpu_wgmma,torus_mesh_switch_7,Llama3_405b,16,16,1,256,1,1,1,1,1,1,False,1,none,0.001953125,2.18824291229248,0.0615234375,1024,1365,1707,2048,57.1654350268601,914.646960429761,Llama3_405b_stacked_gpu_wgmma_torus_mesh_switch_7_c2423781de
