M,N,K,tb_m,tb_n,tb_k,wp_m,wp_n,wp_k,stages,row_panel,ag_bytes,noc_hop_time,noc_ext_max,time_noc,time_single_chip,waves,"overall_time/ms(modeling, overlap)",ref_time/ms(gpu)
4096,4096,1024,128,256,64,64,128,64,3,12,4194304.0,2.5e-06,7.93516972972973e-05,8.185169729729731e-05,5.3651064702614284e-05,4,0.12350418388059774,0.309
4096,4096,2048,128,256,64,64,128,64,3,12,4194304.0,2.5e-06,7.93516972972973e-05,8.185169729729731e-05,0.00010382019908592084,4,0.15189784381789198,0.313
8192,11008,512,128,256,64,64,128,64,3,12,22544384.0,2.5e-06,0.00042651537297297296,0.00042901537297297297,0.0001550218199076161,21,0.5618196976075401,0.618
8192,14336,512,128,256,64,64,128,64,3,12,29360128.0,2.5e-06,0.0005554618810810811,0.0005579618810810811,0.00020590517280342927,28,0.7268343695040478,0.778
8192,8192,1024,128,256,64,64,128,64,3,12,16777216.0,2.5e-06,0.0003174067891891892,0.0003199067891891892,0.0002071603237228998,16,0.4277335357514017,0.503
8192,14366,1024,128,256,64,64,128,64,3,12,29421568.0,2.5e-06,0.0005566242594594595,0.0005591242594594595,0.0003661154235116814,28,0.7340439307630873,0.818
8192,28672,1024,128,256,64,64,128,64,3,12,58720256.0,2.5e-06,0.0011109237621621621,0.001113423762162162,0.0007063178580439144,55,1.4432768177715003,1.494
16384,16384,2048,128,256,64,64,128,64,3,12,67108864.0,2.5e-06,0.0012696271567567568,0.0012721271567567567,0.0016056681356032534,63,1.987258197632334,2.034
8192,8192,2048,128,256,64,64,128,64,3,12,16777216.0,2.5e-06,0.0003174067891891892,0.0003199067891891892,0.00040928079634368336,16,0.523997946997539,0.56
8192,16384,2048,128,256,64,64,128,64,3,12,33554432.0,2.5e-06,0.0006348135783783784,0.0006373135783783784,0.0008165615926873668,32,1.0201314179037348,1.053
8192,8192,3584,128,256,64,64,128,64,3,12,16777216.0,2.5e-06,0.0003174067891891892,0.0003199067891891892,0.000714741393601446,16,0.8294585442553015,0.851
8192,28672,3584,128,256,64,64,128,64,3,12,58720256.0,2.5e-06,0.0011109237621621621,0.001113423762162162,0.0024520485405049703,55,2.7892580670982774,2.87
