bs,nh,seqlen,hd,out_features,num_comm_sm,sp_size,tb_m,tb_n,tb_k,wp_m,wp_n,wp_k,stages,row_panel,ag_bytes,noc_hop_time,noc_ext_max,time_noc,time_single_chip,waves,"overall_time/ms(modeling, overlap)",ref_time/ms(gpu)
1,64,8192,128,8192,16,8,128,256,64,64,128,64,3,12,16777216.0,2.5e-06,0.0003174067891891892,0.0003199067891891892,0.0002340045910231302,3,0.4055867246671359,0.369
1,64,8192,128,16384,16,8,128,256,64,64,128,64,3,12,16777216.0,2.5e-06,0.0003174067891891892,0.0003199067891891892,0.0004657333199772949,3,0.5322161954940792,0.591
1,64,8192,128,8192,16,4,128,256,64,64,128,64,3,12,33554432.0,2.5e-06,0.00027206296216216217,0.0002745629621621622,0.0004657333199772949,3,0.5282081708053842,0.47
1,64,8192,128,16384,16,4,128,256,64,64,128,64,3,12,33554432.0,2.5e-06,0.00027206296216216217,0.0002745629621621622,0.0009291907778856243,3,0.9354889671490677,0.835
1,128,8192,128,8192,16,8,128,256,64,64,128,64,3,12,33554432.0,2.5e-06,0.0006348135783783784,0.0006373135783783784,0.0004657333199772949,3,0.8019802309005865,0.703
1,128,8192,128,16384,16,8,128,256,64,64,128,64,3,12,33554432.0,2.5e-06,0.0006348135783783784,0.0006373135783783784,0.0009291907778856243,3,1.0564058392211397,1.119
1,128,8192,128,8192,16,4,128,256,64,64,128,64,3,12,67108864.0,2.5e-06,0.0005441259243243243,0.0005466259243243243,0.0009291907778856243,3,1.04838978984375,1.101
1,128,8192,128,16384,16,4,128,256,64,64,128,64,3,12,67108864.0,2.5e-06,0.0005441259243243243,0.0005466259243243243,0.0018561056937022832,3,1.8629513825311166,1.929
1,64,16384,128,8192,16,8,128,256,64,64,128,64,3,12,33554432.0,2.5e-06,0.0006348135783783784,0.0006373135783783784,0.0004657333199772949,3,0.8019802309005865,0.593
1,64,16384,128,16384,16,8,128,256,64,64,128,64,3,12,33554432.0,2.5e-06,0.0006348135783783784,0.0006373135783783784,0.0009291907778856243,3,1.0564058392211397,1.02
1,64,16384,128,8192,16,4,128,256,64,64,128,64,3,12,67108864.0,2.5e-06,0.0005441259243243243,0.0005466259243243243,0.0009291907778856243,3,1.04838978984375,1.006
1,64,16384,128,16384,16,4,128,256,64,64,128,64,3,12,67108864.0,2.5e-06,0.0005441259243243243,0.0005466259243243243,0.0018561056937022832,3,1.8629513825311166,1.956
