point_id,display_model,reference_file,paper_model_source,arch,noc,model,bs,minibatch,seq,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,kv_len_1,kv_len_2,kv_len_3,kv_len_4,paper_utps_avg,paper_stps_avg
fig09-DeepSeekV3-bs1,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,1,1,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,80.7585146056008,80.7585146056008
fig09-DeepSeekV3-bs2,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,2,2,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,81.762796616064,163.525593232128
fig09-DeepSeekV3-bs4,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,4,4,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,74.8156606099524,299.26264243981
fig09-DeepSeekV3-bs8,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,8,8,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,67.2602490979755,538.081992783804
fig09-DeepSeekV3-bs16,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,16,16,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,65.6865754723445,1050.98520755751
fig09-DeepSeekV3-bs32,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,32,32,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,58.7669214173259,1880.54148535443
fig09-DeepSeekV3-bs64,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,64,64,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,50.6527531167157,3241.7761994698
fig09-DeepSeekV3-bs128,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,128,128,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,41.8617470502623,5358.30362243357
fig09-DeepSeekV3-bs256,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,256,256,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,33.3497275377988,8537.53024967649
fig09-DeepSeekV3-bs512,DeepSeek V3,vllm_b200_benchmark_summary.csv,modeling_data/b200_8x1_8_decode_ref_0311.csv,B200,b200_8x1_8,DeepSeekV3,512,512,1,8,1,1,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,23.7987993263012,12184.9852550662
