point_id,model,BS,final_plot_model_csv,final_plot_model_csv_sha256,adjacent_updated_model_csv,adjacent_updated_model_csv_sha256,final_plot_stps,version_matched_updated_stps,paper_legacy_stps,final_plot_to_updated_pct,artifact_legacy_vs_updated_pct,attribution
fig09-Llama3_70b-bs1,Llama3_70b,1,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,113.306000282606,113.306000282606,113.306000282606,0,-3.10862446895044e-13,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs2,Llama3_70b,2,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,263.226691575319,263.226691575319,263.226691575319,0,1.77635683940025e-13,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs4,Llama3_70b,4,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,513.995305806498,514.866708551092,514.866708551092,0.169535156206635,4.44089209850063e-14,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs8,Llama3_70b,8,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,1003.26798929987,1008.05424706882,1008.05424706882,0.477066727932551,-2.33146835171283e-13,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs16,Llama3_70b,16,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,1914.51883376355,1952.69676394698,1952.69676394698,1.99412664478107,1.77635683940025e-13,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs32,Llama3_70b,32,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,3543.77261343917,3655.75310794412,3655.75310794412,3.15992324338998,2.22044604925031e-14,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs64,Llama3_70b,64,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,6070.89085002916,6316.75201006293,6316.75201006293,4.04983660730105,-5.55111512312578e-14,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs128,Llama3_70b,128,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,10428.5158509077,10909.3828036971,10909.3828036971,4.61107754606895,0,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs256,Llama3_70b,256,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,15308.7447251422,16025.3831983086,16025.3831983086,4.68123602576924,-3.33066907387547e-14,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
fig09-Llama3_70b-bs512,Llama3_70b,512,merged_8xb200_decode_llama_3_70b_0222.csv,fd2956256df9455af590103358a55b28ffe870b81fd0fd716564ac02e9a8393d,merged_8xb200_decode_llama_3_70b_0223.csv,4d8a0b85992d89cea76a326a37883900d5a4d90e3e8448ea0fa03abd182af1b1,21842.3561092218,22686.2886151616,22686.2886151616,3.86374300336361,0,final plot pins earlier recorded output; release legacy-count path reproduces adjacent 0223 state
