model,scenario,tp,BS,system_decode_tps,system_prefill_tps,total_wall_s,system_decode_duration_s,peak_kv_cache_pct,log_file
Qwen3-235B-A22B,io1024_1024,4,1,78.32,9719.51,13.1652,13.0739,0.1,qwen3_235b_io1024_1024_bs1.log
Qwen3-235B-A22B,io1024_1024,4,2,151.57,9298.54,13.7004,13.5117,0.1,qwen3_235b_io1024_1024_bs2.log
Qwen3-235B-A22B,io1024_1024,4,4,276.06,14641.04,15.0776,14.8376,0.2,qwen3_235b_io1024_1024_bs4.log
Qwen3-235B-A22B,io1024_1024,4,8,491.81,13766.77,17.1648,16.657,0.6,qwen3_235b_io1024_1024_bs8.log
Qwen3-235B-A22B,io1024_1024,4,16,918.05,13697.49,18.8678,17.8464,1.1,qwen3_235b_io1024_1024_bs16.log
Qwen3-235B-A22B,io1024_1024,4,32,1567.35,13667.77,22.9478,20.9067,2.0,qwen3_235b_io1024_1024_bs32.log
Qwen3-235B-A22B,io1024_1024,4,64,2548.9,13557.78,29.82,25.7115,4.4,qwen3_235b_io1024_1024_bs64.log
Qwen3-235B-A22B,io1024_1024,4,128,3678.82,13814.91,43.6917,35.6288,8.6,qwen3_235b_io1024_1024_bs128.log
Qwen3-235B-A22B,io1024_1024,4,256,5905.87,11627.47,63.4923,44.387,17.9,qwen3_235b_io1024_1024_bs256.log
Qwen3-235B-A22B,io1024_1024,4,512,7860.8,13637.72,99.3079,66.6965,34.9,qwen3_235b_io1024_1024_bs512.log
