point_id,scenario,prompt_tokens,max_new_tokens,kv_mid,bs,vllm_stps,status,source_run_id,measurement_field
dsv32_io1024_1024_bs1,io1024_1024,1024,1024,1536,1,52.0427164937619,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs2,io1024_1024,1024,1024,1536,2,102.72364522512488,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs4,io1024_1024,1024,1024,1536,4,198.71257387687572,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs8,io1024_1024,1024,1024,1536,8,371.8596374217537,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs16,io1024_1024,1024,1024,1536,16,691.6668893914118,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs32,io1024_1024,1024,1024,1536,32,1296.615681785191,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs64,io1024_1024,1024,1024,1536,64,2317.8868219201954,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs128,io1024_1024,1024,1024,1536,128,3955.1969588872594,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs256,io1024_1024,1024,1024,1536,256,6199.159565239968,ok,run-01,system_decode_tps_excluding_first
dsv32_io1024_1024_bs512,io1024_1024,1024,1024,1536,512,8997.498071869499,ok,run-01,system_decode_tps_excluding_first
dsv32_io3072_1024_bs1,io3072_1024,3072,1024,3584,1,50.92684608501146,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs2,io3072_1024,3072,1024,3584,2,100.40475800059409,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs4,io3072_1024,3072,1024,3584,4,193.94902914368225,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs8,io3072_1024,3072,1024,3584,8,363.0227852210244,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs16,io3072_1024,3072,1024,3584,16,674.1773749984239,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs32,io3072_1024,3072,1024,3584,32,1251.5926800731445,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs64,io3072_1024,3072,1024,3584,64,2217.868143505068,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs128,io3072_1024,3072,1024,3584,128,3739.001871583641,ok,run-02,system_decode_tps_excluding_first
dsv32_io3072_1024_bs256,io3072_1024,3072,1024,3584,256,5769.607165527066,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs1,io7168_1024,7168,1024,7680,1,50.536897707574425,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs2,io7168_1024,7168,1024,7680,2,99.3248454699563,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs4,io7168_1024,7168,1024,7680,4,191.8717504281462,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs8,io7168_1024,7168,1024,7680,8,358.0456777287093,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs16,io7168_1024,7168,1024,7680,16,669.6297052098573,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs32,io7168_1024,7168,1024,7680,32,1232.2824256824683,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs64,io7168_1024,7168,1024,7680,64,2169.5610825092776,ok,run-02,system_decode_tps_excluding_first
dsv32_io7168_1024_bs128,io7168_1024,7168,1024,7680,128,3654.08058238804,ok,run-02,system_decode_tps_excluding_first
dsv32_io15360_1024_bs1,io15360_1024,15360,1024,15872,1,50.33151358174681,ok,run-03,system_decode_tps_excluding_first
dsv32_io15360_1024_bs2,io15360_1024,15360,1024,15872,2,99.17459831044252,ok,run-03,system_decode_tps_excluding_first
dsv32_io15360_1024_bs4,io15360_1024,15360,1024,15872,4,191.9412306710637,ok,run-03,system_decode_tps_excluding_first
dsv32_io15360_1024_bs8,io15360_1024,15360,1024,15872,8,355.0029165814415,ok,run-03,system_decode_tps_excluding_first
dsv32_io15360_1024_bs16,io15360_1024,15360,1024,15872,16,657.0780012852995,ok,run-03,system_decode_tps_excluding_first
dsv32_io15360_1024_bs32,io15360_1024,15360,1024,15872,32,1198.5449725097262,ok,run-03,system_decode_tps_excluding_first
dsv32_io15360_1024_bs64,io15360_1024,15360,1024,15872,64,2090.3274704901223,ok,run-03,system_decode_tps_excluding_first
dsv32_io31744_1024_bs1,io31744_1024,31744,1024,32256,1,49.606918177102365,ok,run-03,system_decode_tps_excluding_first
dsv32_io31744_1024_bs2,io31744_1024,31744,1024,32256,2,97.4067832659758,ok,run-03,system_decode_tps_excluding_first
dsv32_io31744_1024_bs4,io31744_1024,31744,1024,32256,4,186.80007134527284,ok,run-03,system_decode_tps_excluding_first
dsv32_io31744_1024_bs8,io31744_1024,31744,1024,32256,8,347.5724560863402,ok,run-03,system_decode_tps_excluding_first
dsv32_io31744_1024_bs16,io31744_1024,31744,1024,32256,16,636.836005817498,ok,run-03,system_decode_tps_excluding_first
dsv32_io31744_1024_bs32,io31744_1024,31744,1024,32256,32,1157.2615345138538,ok,run-03,system_decode_tps_excluding_first
