phase,bs,m,best_scaled_stps
decode,4,2,113.728
decode,4,3,216.821
decode,4,4,333.08
decode,4,5,383.601
decode,4,6,429.107
decode,4,7,468.818
decode,4,8,481.88
decode,4,9,492.803
decode,4,10,493.287
decode,4,11,455.5
decode,4,12,322.998
decode,16,2,481.879
decode,16,3,929.004
decode,16,4,1404.12
decode,16,5,1597.18
decode,16,6,1758.35
decode,16,7,1894.87
decode,16,8,1906.07
decode,16,9,1946.08
decode,16,10,1947.96
decode,16,11,1804.44
decode,16,12,1283.72
decode,64,2,1133.53
decode,64,3,3267.26
decode,64,4,5440.74
decode,64,5,6237.98
decode,64,6,6913.33
decode,64,7,7492.76
decode,64,8,7095.99
decode,64,9,7208.55
decode,64,10,7214
decode,64,11,6576.7
decode,64,12,4786.34
decode,256,2,2502.91
decode,256,3,8999.38
decode,256,4,12788.9
decode,256,5,18274.1
decode,256,6,20468.8
decode,256,7,22040.3
decode,256,8,20170.2
decode,256,9,19850.3
decode,256,10,19860.4
decode,256,11,17010.6
decode,256,12,12217.2
decode,1024,2,2640.33
decode,1024,3,18084.7
decode,1024,4,40443.2
decode,1024,5,45837.4
decode,1024,6,49700
decode,1024,7,51094.5
decode,1024,8,46388.8
decode,1024,9,41538.6
decode,1024,10,41577.1
decode,1024,11,32478.8
decode,1024,12,24815.1
prefill,4,2,35634
prefill,4,3,43942.6
prefill,4,4,58832.5
prefill,4,5,58557
prefill,4,6,76702.8
prefill,4,7,80149.5
prefill,4,8,68009.3
prefill,4,9,56644.6
prefill,4,10,56645.5
prefill,4,11,46993.9
prefill,4,12,34076.1
prefill,16,2,86313.7
prefill,16,3,90263.5
prefill,16,4,121931
prefill,16,5,115862
prefill,16,6,133468
prefill,16,7,126450
prefill,16,8,103405
prefill,16,9,86675.2
prefill,16,10,86675.7
prefill,16,11,65178
prefill,16,12,47988.9
prefill,64,2,122881
prefill,64,3,145649
prefill,64,4,165006
prefill,64,5,162132
prefill,64,6,150045
prefill,64,7,139604
prefill,64,8,116704
prefill,64,9,98415.6
prefill,64,10,98415.8
prefill,64,11,72246.4
prefill,64,12,50004.3
prefill,256,2,172488
prefill,256,3,184281
prefill,256,4,180092
prefill,256,5,176666
prefill,256,6,158300
prefill,256,7,145542
prefill,256,8,121412
prefill,256,9,101365
prefill,256,10,101365
prefill,256,11,74609.7
prefill,256,12,51224
prefill,1024,2,194095
prefill,1024,3,187729
prefill,1024,4,173691
prefill,1024,5,179058
prefill,1024,6,154534
prefill,1024,7,147911
prefill,1024,8,123412
prefill,1024,9,102431
prefill,1024,10,102431
prefill,1024,11,75511.5
prefill,1024,12,53645.1
