phase,bs,m,n,best_effective_stps,best_tokens_per_joule
decode,4,2,2,113.728,0.0131994
decode,4,4,2,226.407,0.0275147
decode,4,4,4,333.08,0.0304511
decode,4,6,2,238.507,0.0281368
decode,4,6,4,362.478,0.0309512
decode,4,6,6,429.107,0.0317508
decode,4,8,2,238.507,0.0281368
decode,4,8,4,372.341,0.0310869
decode,4,8,6,441.862,0.0318652
decode,4,8,8,481.88,0.0309091
decode,4,10,2,238.507,0.0281368
decode,4,10,4,385.116,0.030072
decode,4,10,6,458.334,0.0307003
decode,4,10,8,492.495,0.0308822
decode,4,10,10,493.287,0.0315406
decode,4,12,2,256.797,0.0278172
decode,4,12,4,385.116,0.030072
decode,4,12,6,453.956,0.0315296
decode,4,12,8,455.032,0.0315384
decode,4,12,10,455.447,0.0315421
decode,4,12,12,322.998,0.0290183
decode,4,14,2,256.797,0.0278172
decode,4,14,4,393.323,0.0309408
decode,4,14,6,453.956,0.0315296
decode,4,14,8,322.91,0.0290164
decode,4,14,10,322.976,0.0290178
decode,4,14,12,323.018,0.0290187
decode,1024,2,2,2640.33,0.24095
decode,1024,4,2,25271.2,2.14335
decode,1024,4,4,40443.2,2.34336
decode,1024,6,2,27366.8,2.32752
decode,1024,6,4,41334.9,2.51136
decode,1024,6,6,49700,2.52962
decode,1024,8,2,27836.3,2.32752
decode,1024,8,4,41028,2.51141
decode,1024,8,6,46597.8,2.52799
decode,1024,8,8,46388.8,2.48602
decode,1024,10,2,27836.3,2.3275
decode,1024,10,4,39491.7,2.47091
decode,1024,10,6,41454.6,2.47802
decode,1024,10,8,41495,2.42587
decode,1024,10,10,41577.1,2.42602
decode,1024,12,2,27836.3,2.32217
decode,1024,12,4,37899.9,2.42182
decode,1024,12,6,35882.6,2.41596
decode,1024,12,8,32477.3,2.33823
decode,1024,12,10,32478.6,2.33818
decode,1024,12,12,24815.1,2.20011
decode,1024,14,2,26861.7,2.31156
decode,1024,14,4,31380,2.33577
decode,1024,14,6,32391.6,2.33812
decode,1024,14,8,24814.4,2.20009
decode,1024,14,10,24814.9,2.20011
decode,1024,14,12,24815.2,2.20011
prefill,4,2,2,35634,2.70171
prefill,4,4,2,47334.1,3.6355
prefill,4,4,4,58832.5,3.7567
prefill,4,6,2,52231.5,4.22327
prefill,4,6,4,65081.5,4.28696
prefill,4,6,6,76702.8,4.24354
prefill,4,8,2,55455.8,4.35882
prefill,4,8,4,73293.8,4.54359
prefill,4,8,6,75662.9,4.54647
prefill,4,8,8,68009.3,4.39048
prefill,4,10,2,55455.8,4.35881
prefill,4,10,4,64835.5,4.44744
prefill,4,10,6,65740.7,4.38767
prefill,4,10,8,56644.2,4.35445
prefill,4,10,10,56645.5,4.35446
prefill,4,12,2,50102.8,4.20727
prefill,4,12,4,55980.3,4.35391
prefill,4,12,6,55843.9,4.35178
prefill,4,12,8,48579.9,4.16945
prefill,4,12,10,48580.6,4.16947
prefill,4,12,12,34076.1,3.86277
prefill,4,14,2,46561.1,4.20729
prefill,4,14,4,52335.6,4.16937
prefill,4,14,6,54306.8,4.1695
prefill,4,14,8,38710.8,3.86276
prefill,4,14,10,38711.1,3.86276
prefill,4,14,12,38711.4,3.86277
prefill,1024,2,2,194095,9.20769
prefill,1024,4,2,184480,9.18638
prefill,1024,4,4,173691,9.18419
prefill,1024,6,2,177525,9.15256
prefill,1024,6,4,179058,9.16251
prefill,1024,6,6,154534,9.02776
prefill,1024,8,2,165845,9.28254
prefill,1024,8,4,166049,9.28417
prefill,1024,8,6,149791,9.16798
prefill,1024,8,8,123412,8.84441
prefill,1024,10,2,147173,9.15596
prefill,1024,10,4,146149,9.14607
prefill,1024,10,6,122669,8.85771
prefill,1024,10,8,102431,8.57308
prefill,1024,10,10,102431,8.57308
prefill,1024,12,2,121551,8.84316
prefill,1024,12,4,102331,8.57134
prefill,1024,12,6,101792,8.56191
prefill,1024,12,8,75511.5,7.94869
prefill,1024,12,10,75511.5,7.94869
prefill,1024,12,12,53645.1,7.11076
prefill,1024,14,2,104697,8.72582
prefill,1024,14,4,102462,8.68538
prefill,1024,14,6,77939.1,8.06552
prefill,1024,14,8,53645.1,7.1548
prefill,1024,14,10,53645.1,7.1548
prefill,1024,14,12,53645.1,7.15481
