terrain_reference_id,dram_total_layers,dram_active_layers,bs,temperature_C,raw_stps
terrain-000001,2,2,4,41.745,1.19389
terrain-000002,2,2,4,41.796,1.22803
terrain-000003,2,2,4,54.722,110.748
terrain-000004,2,2,4,41.793,2.65121
terrain-000005,2,2,4,41.846,2.66504
terrain-000006,2,2,4,41.763,1.68906
terrain-000007,2,2,4,41.814,1.72373
terrain-000008,2,2,4,54.568,112.707
terrain-000009,2,2,4,41.746,2.63487
terrain-000010,2,2,4,41.801,2.6466
terrain-000011,2,2,4,41.778,2.13103
terrain-000012,2,2,4,41.83,2.15965
terrain-000013,2,2,4,54.192,111.201
terrain-000014,2,2,4,41.868,3.19032
terrain-000015,2,2,4,41.923,3.16151
terrain-000016,2,2,4,41.788,2.45161
terrain-000017,2,2,4,41.84,2.47211
terrain-000018,2,2,1024,42.85,65.6106
terrain-000019,2,2,1024,62.759,771.534
terrain-000020,2,2,1024,42.907,66.0043
terrain-000021,2,2,1024,43.552,88.6781
terrain-000022,2,2,1024,62.418,790.995
terrain-000023,2,2,1024,42.806,63.4765
terrain-000024,2,2,1024,61.808,752.85
terrain-000025,2,2,1024,41.797,119.553
terrain-000026,2,2,1024,41.879,152.023
terrain-000027,2,2,1024,41.701,114.498
terrain-000028,2,2,1024,41.747,118.268
terrain-000029,2,2,1024,42.137,55.7269
terrain-000030,2,2,1024,42.479,80.3129
terrain-000031,2,2,1024,65.013,1474.41
terrain-000032,2,2,1024,42.086,57.4531
terrain-000033,2,2,1024,64.402,1346.65
terrain-000034,2,2,1024,42.085,55.446
terrain-000035,2,2,1024,66.199,1408.24
terrain-000036,2,2,1024,41.713,171.127
terrain-000037,2,2,1024,41.758,176.629
terrain-000038,2,2,1024,41.808,179.511
terrain-000039,2,2,1024,59.663,2619.53
terrain-000040,2,2,1024,41.849,66.9889
terrain-000041,2,2,1024,58.73,1535.88
terrain-000042,2,2,1024,41.894,69.2378
terrain-000043,2,2,1024,60.684,1615.59
terrain-000044,2,2,1024,41.881,59.7119
terrain-000045,2,2,1024,42.042,82.2532
terrain-000046,2,2,1024,41.783,245.974
terrain-000047,2,2,1024,41.784,85.8459
terrain-000048,2,2,1024,57.667,1985.03
terrain-000049,2,2,1024,41.834,86.5212
terrain-000050,2,2,1024,41.891,101.955
terrain-000051,2,2,1024,41.739,86.0263
terrain-000052,2,2,1024,42.523,85.37
terrain-000053,2,2,1024,64.438,1550.61
terrain-000054,2,2,1024,42.114,60.8924
terrain-000055,2,2,1024,65.223,1463.86
terrain-000056,2,2,1024,42.109,58.5503
terrain-000057,2,2,1024,66.843,1499.76
terrain-000058,2,2,1024,41.866,71.7116
terrain-000059,2,2,1024,59.109,1690.24
terrain-000060,2,2,1024,41.911,74.147
terrain-000061,2,2,1024,61.016,1737.21
terrain-000062,2,2,1024,42.059,87.5657
terrain-000063,2,2,1024,41.796,93.5233
terrain-000064,2,2,1024,57.798,2171.85
terrain-000065,2,2,1024,41.9,110.245
terrain-000066,2,2,1024,41.752,93.9739
terrain-000067,2,2,1024,41.713,129.02
terrain-000068,2,2,1024,41.759,133.348
terrain-000069,2,2,4,41.745,1.19389
terrain-000070,2,2,4,41.796,1.22803
terrain-000071,2,2,4,54.789,111.228
terrain-000072,2,2,4,41.793,2.65148
terrain-000073,2,2,4,41.847,2.66531
terrain-000074,2,2,4,41.763,1.68907
terrain-000075,2,2,4,41.814,1.72374
terrain-000076,2,2,4,54.635,113.203
terrain-000077,2,2,4,41.746,2.63513
