candidate_id,phase,selection_roles,dram_total_layers,dram_active_layers,sm_count,smem_capacity_KiB,l1_throughput_Bpc,arch,noc,model,bs,minibatch,seq,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,kv_len_1,kv_len_2,kv_len_3,kv_len_4,terrain_reference_id
dram-decode-7d8b7b7ba641,decode,fig19_efficiency_winner,8,6,6,128,512,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,1,1,1,128,2,1,1,1,1,1,False,1,replace_only,1024.0,1365.0,1707.0,2048.0,
dram-decode-ec7895375007,decode,fig19_throughput_winner,10,10,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,1,1,1,16,16,1,1,1,1,1,False,1,replace_only,1024.0,1365.0,1707.0,2048.0,
dram-decode-282874a1251c,decode,fig20_archive_sample,2,2,9,256,256,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,64,1,1,1,1,1,4,True,1,replace_only,1024.0,1365.0,1707.0,2048.0,terrain-000355
dram-decode-93b341db4d09,decode,fig18_curve_best;fig20_raw_throughput_best_per_layer;fig20_safe_throughput_best_per_layer,2,2,7,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,1,1,32,2,1,1,1,1,1,False,4,replace_only,1024.0,1365.0,1707.0,2048.0,
dram-decode-9f124274782b,decode,fig20_hottest_per_layer,2,2,7,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,1,1,16,4,1,1,1,1,1,False,4,replace_only,1024.0,1365.0,1707.0,2048.0,
dram-decode-19dcc72ffae6,decode,fig18_curve_best;fig20_raw_throughput_best_per_layer;fig20_safe_throughput_best_per_layer,3,3,7,512,512,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,2,1,128,1,1,1,1,1,1,False,2,replace_only,1024.0,1365.0,1707.0,2048.0,
dram-decode-1dc4c729e255,decode,fig20_hottest_per_layer,3,3,7,512,512,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,1,1,2,32,1,1,1,1,1,False,4,replace_only,1024.0,1365.0,1707.0,2048.0,
dram-decode-fbf37a8192b2,decode,fig20_archive_sample,3,3,8,512,256,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,2,1,8,16,2,1,1,1,1,False,2,replace_only,1024.0,1365.0,1707.0,2048.0,terrain-002174
dram-decode-1374a2f6a95c,decode,fig18_curve_best;fig20_raw_throughput_best_per_layer;fig20_safe_throughput_best_per_layer,4,4,6,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024.0,1365.0,1707.0,2048.0,
dram-decode-5c9943f4d142,decode,fig20_archive_sample,4,4,8,256,256,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,1,64,2,1,1,2,2,True,1,replace_only,1024.0,1365.0,1707.0,2048.0,terrain-003403
