role,source_path,source_sha256,source_bytes,artifact_path,artifact_sha256,transformation
decode_dse_winners,source_snapshot/mosaic/dse_space/case_study_which_layer_noc_matter/dpsk_decode_analysis/decode_best_configs.csv,2dc1c3831fb8d1020b8e160768d0f6dc162b7dd5a64f559c4b9f73ea0521a10f,63464,data/fig22/fixed_configs.csv,8568116059534cd4849f571fadff5c0329f006b965fbb3536f2ebd0e81166df6,"join selected configuration fields and add stable point IDs"
prefill_dse_winners,source_snapshot/mosaic/dse_space/case_study_which_layer_noc_matter/dpsk_prefill_analysis/prefill_best_configs.csv,ae1c36401413cc74786ead2438ebe5bd2eb36945cb68412698880cce6f43f42f,100982,data/fig22/fixed_configs.csv,8568116059534cd4849f571fadff5c0329f006b965fbb3536f2ebd0e81166df6,"join selected configuration fields and add stable point IDs"
paper_decode_points,recorded_reference_bundle/noc_layer_breakdown/layer_breakdown_decode_noc_to_dram.csv,1721fc4097250bf4a66b3b78a62bf10c1d10e9b79bb28158539d3dd52b499c05,29120,data/fig22/reference/paper_decode_model_points.csv,1721fc4097250bf4a66b3b78a62bf10c1d10e9b79bb28158539d3dd52b499c05,byte-for-byte copy
paper_prefill_points,recorded_reference_bundle/noc_layer_breakdown/layer_breakdown_prefill_noc_to_dram.csv,d4bc9b8a64cd28ad55cb05bb247e61834f7af94a02a30b3424563c14a4ce2f73,53427,data/fig22/reference/paper_prefill_model_points.csv,d4bc9b8a64cd28ad55cb05bb247e61834f7af94a02a30b3424563c14a4ce2f73,byte-for-byte copy
paper_decode_summary,recorded_reference_bundle/noc_layer_breakdown/layer_breakdown_decode_summary.csv,4cab41a8ff0abf05d497a481b7ea542978b0fb24dfda64b8687d4639c204faf9,2570,data/fig22/reference/paper_decode_summary.csv,4cab41a8ff0abf05d497a481b7ea542978b0fb24dfda64b8687d4639c204faf9,byte-for-byte copy
paper_prefill_summary,recorded_reference_bundle/noc_layer_breakdown/layer_breakdown_prefill_summary.csv,0a37939887df7a728edb31b36b7f2c8209df99f31efcf99ad58ac63e270d0eda,2572,data/fig22/reference/paper_prefill_summary.csv,0a37939887df7a728edb31b36b7f2c8209df99f31efcf99ad58ac63e270d0eda,byte-for-byte copy
routed_expert_trace,source_snapshot/mosaic/data/aime_ds_r1/moe_activations_batch0.npz,6c744db4ce70beda6e5ef8e984062669fc74bb3134c0abcb244cd2baddd213f9,1249361,src/deepstack/mosaic/data/aime_ds_r1/moe_activations_batch0.npz,6c744db4ce70beda6e5ef8e984062669fc74bb3134c0abcb244cd2baddd213f9,byte-for-byte vendoring
noc_configuration,source_snapshot/mosaic/dse_space/case_study_which_layer_noc_matter/noc_bw_config.py,2fc8376e1dc41cbcfdad964708755841da83974e100b7a773609ae17a26294f7,5550,src/deepstack/mosaic/dse_space/case_study_which_layer_noc_matter/noc_bw_config.py,2fc8376e1dc41cbcfdad964708755841da83974e100b7a773609ae17a26294f7,byte-for-byte vendoring
moe_counting_source,source_snapshot/mosaic/llm/swiglu/swiglu_coarse_group_gemm.py,0bd8c3605a6b1b8672081732491c231d18900edbd0d6a728fd256eef0cd9f2ea,,src/deepstack/mosaic/llm/swiglu/swiglu_coarse_group_gemm.py,f8b82f1f19f961d3ed435a94935a76e9066e7b57bd3bff86ec789563e9d4da90,"add explicit paper_legacy/current_corrected compatibility selector"
legacy_regression_baseline,CPU replay with ae/fig22.py,,,data/fig22/paper_legacy_expected.csv,ee2294d7d7abff1f01b0225c718280e87378f0588ae982512296439d5e517cc1,"756 model outputs only; excludes runtime and process order"
corrected_regression_baseline,CPU replay with ae/fig22.py,,,data/fig22/current_corrected_expected.csv,3819abd25d05db84a46382db03852a7438f6f8510e2c9caf3fa2c2d4f0791069,"756 model outputs only; excludes runtime and process order"
