point_id,phase,model,baseline_noc,scaled_layer,bw_multiplier,bs,minibatch,seq,orig_sm_count,baseline_sm_count,num_devices,tp,ep,dp,pp,sp,cp,onex_tp,onex_ep,onex_dp,onex_pp,kv_len_1,kv_len_2,kv_len_3,kv_len_4,tp_transform_moe,paper_logic_stps,paper_dram_stps,paper_dse_stps,paper_recon_rel_err
decode_0001,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.25,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,74.1710572666369,74.1710572666369,74.1710572666369,0
decode_0002,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.25,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,293.76933283434,293.76933283434,293.76933283434,0
decode_0003,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.25,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1241.09086445535,1241.09086445535,1241.09086445535,0
decode_0004,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.25,64,64,1,8,8,256,8,32,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4292.61013386619,4292.61013386619,4292.61013386619,0
decode_0005,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.25,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10914.4508841198,10914.4508841198,10914.4508841198,0
decode_0006,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.25,1024,512,1,8,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31273.7720349104,31273.7720349104,31273.7720349104,0
decode_0007,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.25,4096,512,1,8,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,52255.8255574509,52255.8255574509,52255.8255574509,0
decode_0008,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.5,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,74.8986038952103,74.8986038952103,74.8986038952103,0
decode_0009,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.5,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,296.424326470823,296.424326470823,296.424326470823,0
decode_0010,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.5,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1272.87298331756,1272.87298331756,1272.87298331756,0
decode_0011,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.5,64,64,1,8,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4437.92997790083,4437.92997790083,4437.92997790083,0
decode_0012,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.5,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10965.8309669698,10965.8309669698,10965.8309669698,0
decode_0013,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.5,1024,512,1,8,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31409.0625180717,31409.0625180717,31409.0625180717,0
decode_0014,decode,DeepSeekV3,torus_mesh_mesh_3,L1,0.5,4096,512,1,8,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,52408.0474169392,52408.0474169392,52408.0474169392,0
decode_0015,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,75.1883724888956,75.1883724888956,75.1883724888956,0
decode_0016,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,297.543616817552,297.543616817552,297.543616817552,0
decode_0017,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1283.22706187043,1283.22706187043,1283.22706187043,0
decode_0018,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1,64,64,1,8,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4495.29775629434,4495.29775629434,4495.29775629434,0
decode_0019,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,11017.5192476657,11017.5192476657,11017.5192476657,0
decode_0020,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1,1024,512,1,8,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31471.2490419858,31471.2490419858,31471.2490419858,0
decode_0021,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1,4096,512,1,8,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,52484.491956643,52484.491956643,52484.491956643,0
decode_0022,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1.5,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,75.2216519816377,75.2216519816377,75.2216519816377,0
decode_0023,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1.5,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,297.673907756529,297.673907756529,297.673907756529,0
decode_0024,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1.5,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1284.43806916922,1284.43806916922,1284.43806916922,0
decode_0025,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1.5,64,64,1,8,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4495.53001882456,4495.53001882456,4495.53001882456,0
decode_0026,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1.5,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,11023.2874187273,11023.2874187273,11023.2874187273,0
decode_0027,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1.5,1024,512,1,8,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31497.7342606199,31497.7342606199,31497.7342606199,0
decode_0028,decode,DeepSeekV3,torus_mesh_mesh_3,L1,1.5,4096,512,1,8,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,52493.3020866824,52493.3020866824,52493.3020866824,0
decode_0029,decode,DeepSeekV3,torus_mesh_mesh_3,L1,2,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,75.229923898335,75.229923898335,75.229923898335,0
decode_0030,decode,DeepSeekV3,torus_mesh_mesh_3,L1,2,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,297.706292548091,297.706292548091,297.706292548091,0
decode_0031,decode,DeepSeekV3,torus_mesh_mesh_3,L1,2,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1284.73893716381,1284.73893716381,1284.73893716381,0
decode_0032,decode,DeepSeekV3,torus_mesh_mesh_3,L1,2,64,64,1,8,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4495.64615909146,4495.64615909146,4495.64615909146,0
decode_0033,decode,DeepSeekV3,torus_mesh_mesh_3,L1,2,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,11026.173770308,11026.173770308,11026.173770308,0
decode_0034,decode,DeepSeekV3,torus_mesh_mesh_3,L1,2,1024,512,1,8,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31508.4995063133,31508.4995063133,31508.4995063133,0
decode_0035,decode,DeepSeekV3,torus_mesh_mesh_3,L1,2,4096,512,1,8,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,52493.3020866824,52493.3020866824,52493.3020866824,0
decode_0036,decode,DeepSeekV3,torus_mesh_mesh_3,L1,3,1,1,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,72.1131961720211,75.2381976345805,72.1131961720211,0
decode_0037,decode,DeepSeekV3,torus_mesh_mesh_3,L1,3,4,4,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,286.70885344566,297.738684387148,286.70885344566,0
decode_0038,decode,DeepSeekV3,torus_mesh_mesh_3,L1,3,16,16,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1202.60309320509,1285.03994614867,1202.60309320509,0
decode_0039,decode,DeepSeekV3,torus_mesh_mesh_3,L1,3,64,64,1,7,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4415.76470965163,4495.76230536018,4415.76470965163,0
decode_0040,decode,DeepSeekV3,torus_mesh_mesh_3,L1,3,256,128,1,7,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10595.4357806701,11028.8799450719,10595.4357806701,0
decode_0041,decode,DeepSeekV3,torus_mesh_mesh_3,L1,3,1024,512,1,7,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,30081.5781388951,31518.529741881,30081.5781388951,0
decode_0042,decode,DeepSeekV3,torus_mesh_mesh_3,L1,3,4096,512,1,7,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,44766.7289367547,52493.3020866824,44766.7289367547,0
decode_0043,decode,DeepSeekV3,torus_mesh_mesh_3,L1,4,1,1,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,72.1169971277547,75.2423351852215,72.1169971277547,0
decode_0044,decode,DeepSeekV3,torus_mesh_mesh_3,L1,4,4,4,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,286.723873974727,297.754882950206,286.723873974727,0
decode_0045,decode,DeepSeekV3,torus_mesh_mesh_3,L1,4,16,16,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1202.73496537309,1285.19050354343,1202.73496537309,0
decode_0046,decode,DeepSeekV3,torus_mesh_mesh_3,L1,4,64,64,1,7,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4415.82074459865,4495.82038074537,4415.82074459865,0
decode_0047,decode,DeepSeekV3,torus_mesh_mesh_3,L1,4,256,128,1,7,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10595.7626807246,11029.2341024122,10595.7626807246,0
decode_0048,decode,DeepSeekV3,torus_mesh_mesh_3,L1,4,1024,512,1,7,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,30082.4054686021,31519.4635060911,30082.4054686021,0
decode_0049,decode,DeepSeekV3,torus_mesh_mesh_3,L1,4,4096,512,1,7,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,44766.7289367547,52493.3020866824,44766.7289367547,0
decode_0050,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.25,1,1,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,76.0220787778687,74.2744647019393,76.0220787778687,0
decode_0051,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.25,4,4,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,300.658392088938,293.822992934073,300.658392088938,0
decode_0052,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.25,16,16,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1205.7797164735,1257.05420457608,1205.7797164735,0
decode_0053,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.25,64,64,1,9,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4251.59231155275,4426.18115287153,4251.59231155275,0
decode_0054,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.25,256,128,1,9,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10928.7128507488,10952.0336402384,10928.7128507488,0
decode_0055,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.25,1024,256,1,9,8,256,4,16,1,4,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31845.7556381598,31450.5389816074,31845.7556381598,0
decode_0056,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.25,4096,512,1,9,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,54411.4883687487,52290.7766915665,54411.4883687487,0
decode_0057,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.5,1,1,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,76.7054764341815,74.9266637100491,76.7054764341815,0
decode_0058,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.5,4,4,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,303.569666646025,296.602766038596,303.569666646025,0
decode_0059,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.5,16,16,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1221.83850510679,1274.51765145052,1221.83850510679,0
decode_0060,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.5,64,64,1,9,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4261.94174775594,4437.39907265761,4261.94174775594,0
decode_0061,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.5,256,128,1,9,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10955.5244725627,10978.9591617543,10955.5244725627,0
decode_0062,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.5,1024,256,1,9,8,256,4,16,1,4,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31979.5486306489,31471.2490419858,31979.5486306489,0
decode_0063,decode,DeepSeekV3,torus_mesh_mesh_3,L2,0.5,4096,512,1,9,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,54572.1724762377,52425.6192464044,54572.1724762377,0
decode_0064,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,75.1883724888956,75.1883724888956,75.1883724888956,0
decode_0065,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,297.543616817552,297.543616817552,297.543616817552,0
decode_0066,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1283.22706187043,1283.22706187043,1283.22706187043,0
decode_0067,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1,64,64,1,8,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4495.29775629434,4495.29775629434,4495.29775629434,0
decode_0068,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,11017.5192476657,11017.5192476657,11017.5192476657,0
decode_0069,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1,1024,512,1,8,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,31471.2490419858,31471.2490419858,31471.2490419858,0
decode_0070,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1,4096,512,1,8,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,52484.491956643,52484.491956643,52484.491956643,0
decode_0071,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,1,1,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,72.084497466978,75.2069581163819,72.084497466978,0
decode_0072,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,4,4,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,286.59544225694,297.616380664258,286.59544225694,0
decode_0073,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,16,16,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1201.60703262784,1283.90282468386,1201.60703262784,0
decode_0074,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,64,64,1,7,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4416.87355576835,4496.9115335212,4416.87355576835,0
decode_0075,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,256,128,1,7,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10587.5527527398,11020.3398909946,10587.5527527398,0
decode_0076,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,1024,512,1,7,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,30038.6801198905,31471.2490419858,30038.6801198905,0
decode_0077,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,4096,512,1,7,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,44761.6930842247,52484.491956643,44761.6930842247,0
decode_0078,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,1,1,1,6,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,70.1617590558422,75.2069581163819,70.1617590558422,0
