baseline_noc,scaled_layer,bw_multiplier,bs,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv
torus_mesh_mesh_3,L1,0.25,256,8,8,8,16,1,2,10914.450884119837,10914.450884119837,10914.450884119837
torus_mesh_mesh_3,L1,0.5,256,8,8,8,16,1,2,10965.830966969774,10965.830966969774,10965.830966969774
torus_mesh_mesh_3,L1,2.0,256,8,8,8,16,1,2,11026.173770308038,11026.173770308038,11026.173770308038
torus_mesh_mesh_3,L1,1.0,256,8,8,8,16,1,2,11017.519247665692,11017.519247665692,11017.519247665692
torus_mesh_mesh_3,L1,1.5,256,8,8,8,16,1,2,11023.287418727292,11023.287418727292,11023.287418727292
torus_mesh_mesh_3,L1,3.0,256,7,8,8,16,1,2,10595.435780670136,11028.879945071913,10595.435780670136
torus_mesh_mesh_3,L1,0.25,4096,8,8,1,32,1,8,52255.82555745092,52255.82555745092,52255.82555745092
torus_mesh_mesh_3,L1,4.0,256,7,8,8,16,1,2,10595.762680724554,11029.234102412182,10595.762680724554
torus_mesh_mesh_3,L1,0.25,64,8,8,8,32,1,1,4292.610133866192,4292.610133866192,4292.610133866192
torus_mesh_mesh_3,L2,0.25,256,9,8,8,16,1,2,10928.712850748783,10952.0336402384,10928.712850748783
torus_mesh_mesh_3,L1,1.0,4096,8,8,1,32,1,8,52484.49195664298,52484.49195664298,52484.49195664298
torus_mesh_mesh_3,L1,2.0,4096,8,8,1,32,1,8,52493.30208668242,52493.30208668242,52493.30208668242
torus_mesh_mesh_3,L1,0.5,4096,8,8,1,32,1,8,52408.0474169392,52408.0474169392,52408.0474169392
torus_mesh_mesh_3,L1,1.5,4096,8,8,1,32,1,8,52493.30208668242,52493.30208668242,52493.30208668242
torus_mesh_mesh_3,L2,0.5,256,9,8,8,16,1,2,10955.524472562733,10978.959161754308,10955.524472562733
torus_mesh_mesh_3,L1,3.0,4096,7,8,1,32,1,8,44766.728936754684,52493.30208668242,44766.72893675469
torus_mesh_mesh_3,L1,0.5,64,8,8,16,16,1,1,4437.929977900826,4437.929977900826,4437.929977900826
torus_mesh_mesh_3,L1,1.5,64,8,8,16,16,1,1,4495.530018824559,4495.530018824559,4495.530018824559
torus_mesh_mesh_3,L1,1.0,64,8,8,16,16,1,1,4495.297756294343,4495.297756294343,4495.297756294343
torus_mesh_mesh_3,L1,2.0,64,8,8,16,16,1,1,4495.646159091462,4495.646159091462,4495.646159091462
torus_mesh_mesh_3,L1,3.0,64,7,8,16,16,1,1,4415.764709651627,4495.762305360181,4415.764709651627
torus_mesh_mesh_3,L1,4.0,4096,7,8,1,32,1,8,44766.728936754684,52493.30208668242,44766.72893675469
torus_mesh_mesh_3,L2,0.25,4096,9,8,1,32,1,8,54411.488368748716,52290.77669156649,54411.48836874872
torus_mesh_mesh_3,L2,0.5,4096,9,8,1,32,1,8,54572.1724762377,52425.61924640441,54572.1724762377
torus_mesh_mesh_3,L1,0.25,1024,8,8,4,32,1,2,31273.772034910442,31273.772034910442,31273.77203491044
torus_mesh_mesh_3,L2,0.25,64,9,8,16,16,1,1,4251.592311552754,4426.181152871529,4251.592311552754
torus_mesh_mesh_3,L1,4.0,64,7,8,16,16,1,1,4415.82074459865,4495.8203807453665,4415.82074459865
torus_mesh_mesh_3,L1,0.5,1024,8,8,4,32,1,2,31409.06251807166,31409.06251807166,31409.06251807166
torus_mesh_mesh_3,L1,3.0,1024,7,8,4,32,1,2,30081.57813889509,31518.52974188102,30081.57813889509
torus_mesh_mesh_3,L1,1.0,1024,8,8,4,32,1,2,31471.24904198582,31471.24904198582,31471.24904198582
torus_mesh_mesh_3,L1,2.0,1024,8,8,4,32,1,2,31508.49950631334,31508.49950631334,31508.49950631334
torus_mesh_mesh_3,L1,1.5,1024,8,8,4,32,1,2,31497.734260619865,31497.734260619865,31497.734260619865
torus_mesh_mesh_3,L1,4.0,1024,7,8,4,32,1,2,30082.40546860212,31519.46350609105,30082.40546860212
torus_mesh_mesh_3,L2,1.0,256,8,8,8,16,1,2,11017.519247665692,11017.519247665692,11017.519247665692
torus_mesh_mesh_3,L1,0.25,1,8,8,32,8,1,1,74.17105726663688,74.17105726663688,74.17105726663688
torus_mesh_mesh_3,L1,0.25,4,8,8,32,8,1,1,293.76933283434033,293.76933283434033,293.76933283434033
torus_mesh_mesh_3,L1,0.25,16,8,8,32,8,1,1,1241.090864455353,1241.090864455353,1241.090864455353
torus_mesh_mesh_3,L1,0.5,4,8,8,32,8,1,1,296.424326470823,296.424326470823,296.424326470823
torus_mesh_mesh_3,L1,0.5,1,8,8,32,8,1,1,74.89860389521026,74.89860389521026,74.89860389521026
torus_mesh_mesh_3,L2,1.5,256,7,8,8,16,1,2,10587.552752739779,11020.33989099456,10587.55275273978
torus_mesh_mesh_3,L2,1.0,4096,8,8,1,32,1,8,52484.49195664298,52484.49195664298,52484.49195664298
torus_mesh_mesh_3,L2,2.0,256,6,8,8,16,1,2,9209.302000367834,11020.33989099456,9209.302000367834
torus_mesh_mesh_3,L2,1.0,64,8,8,16,16,1,1,4495.297756294343,4495.297756294343,4495.297756294343
torus_mesh_mesh_3,L1,1.0,4,8,8,32,8,1,1,297.5436168175524,297.5436168175524,297.5436168175524
torus_mesh_mesh_3,L2,0.5,64,9,8,16,16,1,1,4261.9417477559355,4437.399072657613,4261.941747755936
torus_mesh_mesh_3,L1,1.0,1,8,8,32,8,1,1,75.18837248889557,75.18837248889557,75.18837248889557
torus_mesh_mesh_3,L1,0.5,16,8,8,32,8,1,1,1272.8729833175585,1272.8729833175585,1272.8729833175585
