baseline_noc,scaled_layer,bw_multiplier,logic_norm_stps,dram_norm_stps
torus_mesh_mesh_3,L1,0.25,0.9822676305819006,0.9822676305819006
torus_mesh_mesh_3,L1,0.5,0.9947756941771099,0.9947756941771099
torus_mesh_mesh_3,L1,1.0,1.0,1.0
torus_mesh_mesh_3,L1,1.5,1.0004869810235546,1.0004869810235546
torus_mesh_mesh_3,L1,2.0,1.0006417237011596,1.0006417237011596
torus_mesh_mesh_3,L1,3.0,0.94466418167694,1.000790816443889
torus_mesh_mesh_3,L1,4.0,0.9447030709415895,1.0008338924040359
torus_mesh_mesh_3,L2,0.25,0.992506366541508,0.9898966361329598
torus_mesh_mesh_3,L2,0.5,0.9987115860113044,0.9955812398390355
torus_mesh_mesh_3,L2,1.0,1.0,1.0
torus_mesh_mesh_3,L2,1.5,0.9441689058189008,1.0002333363895313
torus_mesh_mesh_3,L2,2.0,0.8827188600093033,1.0002333363895313
torus_mesh_mesh_3,L2,3.0,0.7699684098551217,1.0002333363895313
torus_mesh_mesh_3,L2,4.0,0.5399483785536628,1.0002333363895313
torus_mesh_mesh_3,L3,0.25,0.9331710380331703,0.9215129195885893
torus_mesh_mesh_3,L3,0.5,0.9662688467241075,0.9662688467241075
torus_mesh_mesh_3,L3,1.0,1.0,1.0
torus_mesh_mesh_3,L3,1.5,0.9602888007337521,1.023831415365339
torus_mesh_mesh_3,L3,2.0,0.9692786481581795,1.036278186768138
torus_mesh_mesh_3,L3,3.0,0.9040478027169842,1.0474764696630428
torus_mesh_mesh_3,L3,4.0,0.7866186045529616,1.049647273615426
torus_mesh_switch_1,L1,0.25,0.9983357466695174,0.9983357466695174
torus_mesh_switch_1,L1,0.5,0.999608216839124,0.999608216839124
torus_mesh_switch_1,L1,1.0,1.0,1.0
torus_mesh_switch_1,L1,1.5,1.0002626808261534,1.0002626808261534
torus_mesh_switch_1,L1,2.0,1.0003342759592013,1.0003342759592013
torus_mesh_switch_1,L1,3.0,0.9289505448816301,1.0004058860851042
torus_mesh_switch_1,L1,4.0,0.9289776985245375,1.000441696772082
torus_mesh_switch_1,L2,0.25,0.9960604890598068,0.9917229104963007
torus_mesh_switch_1,L2,0.5,1.0031873799782558,0.9989077194070711
torus_mesh_switch_1,L2,1.0,1.0,1.0
torus_mesh_switch_1,L2,1.5,0.9295594707808478,1.001026908756575
torus_mesh_switch_1,L2,2.0,0.8638717240048888,1.0012853212060666
torus_mesh_switch_1,L2,3.0,0.749771379807773,1.001653829856379
torus_mesh_switch_1,L2,4.0,0.5163087733390868,1.001727568636815
torus_mesh_switch_1,L3,0.25,0.8865442082293266,0.8850359167661299
torus_mesh_switch_1,L3,0.5,0.9610062542887235,0.9610062542887235
torus_mesh_switch_1,L3,1.0,1.0,1.0
torus_mesh_switch_1,L3,1.5,0.9353246493701594,1.0106770728519305
torus_mesh_switch_1,L3,2.0,0.9403406842132161,1.0174353860184253
torus_mesh_switch_1,L3,3.0,0.8740288232020422,1.021936408868241
torus_mesh_switch_1,L3,4.0,0.7580701181883069,1.0255011736148878
