baseline_noc,scaled_layer,bw_multiplier,bs,seq,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,sp,cp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv,recon_rel_err
torus_mesh_mesh_3,L1,0.5,1024,1024,8,8,1,16,4,4,1,1,189973.1614265385,189973.1614265385,189973.1614265385,0.0
torus_mesh_mesh_3,L1,0.25,64,1024,8,8,2,16,1,4,2,1,155071.44236380106,155071.44236380106,155071.44236380106,0.0
torus_mesh_mesh_3,L1,0.5,64,1024,8,8,2,16,1,4,2,1,165850.82147848056,165850.82147848056,165850.82147848056,0.0
torus_mesh_mesh_3,L1,0.25,1024,1024,8,8,1,32,2,4,1,1,176959.7879743595,176959.7879743595,176959.7879743595,0.0
torus_mesh_mesh_3,L1,1.0,64,1024,8,8,2,16,1,4,2,1,169076.2964881729,169076.2964881729,169076.2964881729,0.0
torus_mesh_mesh_3,L1,0.25,256,1024,8,8,1,64,1,4,1,1,171205.45751635972,171205.45751635972,171205.45751635972,0.0
torus_mesh_mesh_3,L1,0.25,256,8192,8,8,2,32,4,1,1,1,107320.53170357828,107320.53170357828,105809.3337502687,0.014282274538050714
torus_mesh_mesh_3,L1,0.5,256,8192,8,8,2,32,4,1,1,1,111668.2281876515,111668.2281876515,108267.42046791654,0.03141118265344414
torus_mesh_mesh_3,L1,1.0,256,8192,8,8,2,32,4,1,1,1,113180.04507108974,113180.04507108974,108284.17367516144,0.04521317594032982
torus_mesh_mesh_3,L1,0.5,256,1024,8,8,1,64,1,4,1,1,183796.96874221388,183796.96874221388,183796.96874221388,0.0
torus_mesh_mesh_3,L1,1.0,256,1024,8,8,1,64,1,4,1,1,188585.4767902949,188585.4767902949,188585.4767902949,0.0
torus_mesh_mesh_3,L1,3.0,64,1024,7,8,2,16,1,4,2,1,145039.07000949603,169252.9468518203,145039.07000949603,0.0
torus_mesh_mesh_3,L1,1.0,1024,1024,8,8,1,64,1,4,1,1,191052.4076448931,191052.4076448931,191052.4076448931,0.0
torus_mesh_mesh_3,L1,1.5,256,1024,8,8,1,64,1,4,1,1,188683.22021177076,188683.22021177076,188683.2202117708,1.5424705187916913e-16
torus_mesh_mesh_3,L1,1.5,64,1024,8,8,2,16,1,4,2,1,169240.33733687058,169240.33733687058,169240.33733687058,0.0
torus_mesh_mesh_3,L1,2.0,256,1024,8,8,1,64,1,4,1,1,188683.22021177076,188683.22021177076,188683.2202117708,1.5424705187916913e-16
torus_mesh_mesh_3,L1,1.5,256,8192,8,8,2,32,4,1,1,1,113184.49026347141,113184.49026347141,108288.24260378804,0.045214951706235344
torus_mesh_mesh_3,L1,1.0,64,8192,8,8,8,8,2,2,1,1,103566.29798339856,103566.29798339856,103566.29798339856,0.0
torus_mesh_mesh_3,L1,2.0,256,8192,8,8,2,32,4,1,1,1,113184.57425575123,113184.57425575123,108288.3194863998,0.04521498525947993
torus_mesh_mesh_3,L1,1.5,64,8192,8,8,8,8,2,2,1,1,103967.2971660586,103967.2971660586,103967.2971660586,0.0
