scenario,bs,bw_multiplier,tier,sm_count,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,paper_scaled_stps
logic_die,4,1,astra_space,8,128,1,1,1,1,1,2,False,1,none,209.147788354667
logic_die,4,1,expanded_parallel,8,16,16,16,1,1,1,1,False,1,none,340.525082389805
logic_die,4,1,module_flexible,8,16,16,16,1,1,1,1,False,1,none,340.525082389805
logic_die,64,1,astra_space,8,32,1,1,1,1,1,2,False,4,none,1541.72441702999
logic_die,64,1,expanded_parallel,8,8,32,32,1,1,1,1,False,1,none,5123.17817379398
logic_die,64,1,module_flexible,8,8,32,32,1,1,1,1,False,1,none,5123.17817379398
logic_die,1024,1,astra_space,8,8,1,1,1,1,1,1,False,32,none,7560.30519231697
logic_die,1024,1,expanded_parallel,8,2,64,64,1,1,1,1,False,2,none,31470.3596700853
logic_die,1024,1,module_flexible,8,4,32,32,1,1,1,1,False,2,replace_only,38061.037122151
noc_to_dram,4,1,astra_space,8,128,1,1,1,1,1,2,False,1,none,209.147788354667
noc_to_dram,4,1,expanded_parallel,8,16,16,16,1,1,1,1,False,1,none,340.525082389805
noc_to_dram,4,1,module_flexible,8,16,16,16,1,1,1,1,False,1,none,340.525082389805
noc_to_dram,64,1,astra_space,8,32,1,1,1,1,1,2,False,4,none,1541.72441702999
noc_to_dram,64,1,expanded_parallel,8,8,32,32,1,1,1,1,False,1,none,5123.17817379398
noc_to_dram,64,1,module_flexible,8,8,32,32,1,1,1,1,False,1,none,5123.17817379398
noc_to_dram,1024,1,astra_space,8,8,1,1,1,1,1,1,False,32,none,7560.30519231697
noc_to_dram,1024,1,expanded_parallel,8,2,64,64,1,1,1,1,False,2,none,31470.3596700853
noc_to_dram,1024,1,module_flexible,8,4,32,32,1,1,1,1,False,2,replace_only,38061.037122151
