phase,model,bs,astra_space,expanded_parallel,module_flexible,expanded_over_astra,flexible_over_expanded,flexible_over_astra,paper_reported_flexible_over_astra
decode,DeepSeekV3,1,57.5173346926419,90.5701184528957,90.5701184528957,1.57465777816165,1,1.57465777816165,
decode,DeepSeekV3,4,209.147788354667,340.525082389805,340.525082389805,1.62815531098207,1,1.62815531098207,
decode,DeepSeekV3,16,603.45128453079,1291.25064123156,1317.8264644482,2.13977610841538,1.02058145984059,2.18381582445859,
decode,DeepSeekV3,64,1541.72441702999,5123.17817379398,5123.17817379398,3.32301811997203,1,3.32301811997203,
decode,DeepSeekV3,128,2381.63264262343,8500.69472937833,8500.69472937833,3.56927200998328,1,3.56927200998328,
decode,DeepSeekV3,512,5327.3654641258,20064.4017062242,27855.199740183,3.76628970573481,1.38828957613733,5.22870073918496,
decode,DeepSeekV3,1024,7560.30519231697,31470.3596700853,38061.037122151,4.1625779475234,1.20942491668853,5.03432548739301,5.03
decode,Qwen3_235b_a22b,1,77.3259658569909,92.5433456928688,122.05758594428,1.19679521189585,1.31892341940351,1.57848123319942,
decode,Qwen3_235b_a22b,4,287.90101262215,364.266218270942,364.266218270942,1.26524813147849,1,1.26524813147849,
decode,Qwen3_235b_a22b,16,979.341382887892,1249.88361894097,1249.88361894097,1.27624916171243,1,1.27624916171243,
decode,Qwen3_235b_a22b,64,2901.6923830517,3774.90286714062,4507.89957562128,1.30093144579666,1.19417630976976,1.5535415132049,
decode,Qwen3_235b_a22b,128,4617.21258756839,6350.65933010881,7184.28278121372,1.37543143393649,1.13126565412707,1.5559783408191,
decode,Qwen3_235b_a22b,512,10555.6784137909,18604.6982508599,23911.2100368325,1.76252984616821,1.285224286598,2.26524616414923,
decode,Qwen3_235b_a22b,1024,15032.9727960664,28629.1267909936,34732.3604282998,1.90442217779339,1.21318266819183,2.31041197901908,2.31
prefill,DeepSeekV3,1,2664.42856552344,10704.1250617901,13114.5145611301,4.0174186691649,1.22518323407339,4.92207399771427,
prefill,DeepSeekV3,4,10067.7072548072,27489.8119546999,56623.5620858945,2.73049377171489,2.05980172506104,5.62427578124676,
prefill,DeepSeekV3,8,20489.3528723758,44806.2024277773,82981.917743269,2.18680417614291,1.85201854312529,4.0500018844005,
prefill,DeepSeekV3,16,31640.6748045956,59960.1973388242,115827.16168216,1.89503535272627,1.93173416404288,3.6607045329304,
prefill,DeepSeekV3,64,72870.5262856747,142070.111354415,162079.138213089,1.94962378613072,1.14083910167958,2.22420704878251,
prefill,DeepSeekV3,128,85331.167133086,173492.176183124,173492.176183124,2.03316305181363,1,2.03316305181363,
prefill,DeepSeekV3,1024,113420.912995053,169939.331808905,170447.215257249,1.49830685824507,1.00298861624874,1.50278472246722,
prefill,Qwen3_235b_a22b,1,5148.53324096101,12713.8872754913,28473.7901283631,2.46941928515511,2.23958176688041,5.53046640581625,
prefill,Qwen3_235b_a22b,4,19679.387770461,43105.0538463291,69299.5694897957,2.19036559211615,1.60769012693618,3.52142913682586,
prefill,Qwen3_235b_a22b,8,43504.5218291726,81100.5982170486,102495.590817773,1.86418778570887,1.26380807381303,2.35597557468251,
prefill,Qwen3_235b_a22b,16,80386.8565992688,137179.585875159,163296.924070465,1.70649272379195,1.19038793584838,2.03138835101497,
prefill,Qwen3_235b_a22b,64,150054.015609958,184415.264057386,190306.648557779,1.22899252850883,1.03194629539212,1.26825428685928,
prefill,Qwen3_235b_a22b,128,178307.422057471,201216.548254875,201216.548254875,1.12848105778805,1,1.12848105778805,
prefill,Qwen3_235b_a22b,1024,189994.674513341,208723.844842239,208723.844842239,1.09857734369066,1,1.09857734369066,
