candidate_id,phase,model,bs,tier,tier_order,arch,noc,minibatch,seq,cached_kv,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,max_activation_gib,mem_weight_gib,kv_cache_gib,paper_utps,paper_stps,source_stats_run_id,source_candidate_count,source_tie_count,runner_up_gap_pct,kv_len_1,kv_len_2,kv_len_3,kv_len_4
decode_deepseek_bs1_astra_space,decode,DeepSeekV3,1,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,1,1,,256,1,1,1,1,1,1,False,1,none,0.0021983385086059,3.77974247932434,0.134033203125,57.5173346926419,57.5173346926419,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_c67e9f4e0b,1,1,,1024,1365,1707,2048
decode_deepseek_bs1_expanded_parallel,decode,DeepSeekV3,1,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,1,1,,16,16,1,1,1,1,1,False,1,none,0.0022058486938476,4.58019781112671,0.134033203125,90.5701184528957,90.5701184528957,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_03e3ddf651,12,1,2.90638481681861,1024,1365,1707,2048
decode_deepseek_bs1_module_flexible,decode,DeepSeekV3,1,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,1,1,,16,16,1,1,1,1,1,False,1,none,0.0022058486938476,4.58019781112671,0.134033203125,90.5701184528957,90.5701184528957,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_03e3ddf651,18,1,2.90638481681861,1024,1365,1707,2048
decode_deepseek_bs4_astra_space,decode,DeepSeekV3,4,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,4,1,,128,1,1,1,1,1,2,False,1,none,0.0043966770172119,6.20064002275467,0.26806640625,52.2869470886668,209.147788354667,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_d265adec55,5,1,0.605316329918626,1024,1365,1707,2048
decode_deepseek_bs4_expanded_parallel,decode,DeepSeekV3,4,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,4,1,,16,16,4,1,1,1,1,False,1,none,0.0022058486938476,4.58019781112671,0.134033203125,85.1312705974512,340.525082389805,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_b0dfd8a617,87,1,2.29317968042873,1024,1365,1707,2048
decode_deepseek_bs4_module_flexible,decode,DeepSeekV3,4,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,4,1,,16,16,4,1,1,1,1,False,1,none,0.0022058486938476,4.58019781112671,0.134033203125,85.1312705974512,340.525082389805,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_b0dfd8a617,161,1,2.29317968042873,1024,1365,1707,2048
decode_deepseek_bs16_astra_space,decode,DeepSeekV3,16,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,8,1,,64,1,1,1,1,1,2,False,2,none,0.0087976455688476,5.58275806903839,0.5361328125,37.7157052831743,603.45128453079,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_894b67f5b4,9,1,3.27319453860765,1024,1365,1707,2048
decode_deepseek_bs16_expanded_parallel,decode,DeepSeekV3,16,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,16,1,,8,32,16,1,1,1,1,False,1,none,0.0022144317626953,5.44971752166748,0.134033203125,80.7031650769723,1291.25064123156,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_84468366cf,186,1,4.67433034163579,1024,1365,1707,2048
decode_deepseek_bs16_module_flexible,decode,DeepSeekV3,16,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,16,1,,32,8,8,1,1,1,1,False,1,replace_only,0.0044031143188476,6.45108485221863,0.26806640625,82.3641540280124,1317.8264644482,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_0601a279c8,358,1,2.01664057701031,1024,1365,1707,2048
decode_deepseek_bs64_astra_space,decode,DeepSeekV3,64,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,16,1,,32,1,1,1,1,1,2,False,4,none,0.0176124572753906,5.44307899475098,1.072265625,24.0894440160937,1541.72441702999,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_db0a76f695,11,1,6.44543713252022,1024,1365,1707,2048
decode_deepseek_bs64_expanded_parallel,decode,DeepSeekV3,64,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,64,1,,8,32,32,1,1,1,1,False,1,none,0.0044288635253906,5.44971752166748,0.26806640625,80.0496589655309,5123.17817379398,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_5b43dfb524,262,1,16.7175061239386,1024,1365,1707,2048
decode_deepseek_bs64_module_flexible,decode,DeepSeekV3,64,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,64,1,,8,32,32,1,1,1,1,False,1,none,0.0044288635253906,5.44971752166748,0.26806640625,80.0496589655309,5123.17817379398,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_5b43dfb524,511,1,0.710515993860561,1024,1365,1707,2048
decode_deepseek_bs128_astra_space,decode,DeepSeekV3,128,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,32,1,,32,1,1,1,1,1,2,False,4,none,0.0352249145507812,5.44307899475098,2.14453125,18.6065050204956,2381.63264262343,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_9ba6f1d013,11,1,6.82589449713223,1024,1365,1707,2048
decode_deepseek_bs128_expanded_parallel,decode,DeepSeekV3,128,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,128,1,,4,64,64,1,1,1,1,False,1,none,0.0044631958007812,7.19740867614746,0.26806640625,66.4116775732682,8500.69472937833,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_c5be5f0cd0,277,1,5.2719096836933,1024,1365,1707,2048
decode_deepseek_bs128_module_flexible,decode,DeepSeekV3,128,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,128,1,,4,64,64,1,1,1,1,False,1,none,0.0044631958007812,7.19740867614746,0.26806640625,66.4116775732682,8500.69472937833,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_c5be5f0cd0,537,1,5.2719096836933,1024,1365,1707,2048
decode_deepseek_bs512_astra_space,decode,DeepSeekV3,512,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,32,1,,16,1,1,1,1,1,1,False,16,none,0.070587158203125,2.8569393157959,4.2890625,10.4050106721207,5327.3654641258,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_3b0afcac15,7,1,14.990353392315,1024,1365,1707,2048
decode_deepseek_bs512_expanded_parallel,decode,DeepSeekV3,512,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,256,1,,4,32,32,1,1,1,1,False,2,none,0.017852783203125,4.89085578918457,1.072265625,39.1882845824691,20064.4017062242,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_6929d6dbed,245,1,2.17780601537325,1024,1365,1707,2048
decode_deepseek_bs512_module_flexible,decode,DeepSeekV3,512,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,256,1,,8,16,16,1,1,1,1,False,2,replace_only,0.035430908203125,5.02852725982666,2.14453125,54.4046869925449,27855.199740183,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_f0e4d819f2,478,1,0.628286296639347,1024,1365,1707,2048
