step,step_name,bs,stps_avg,heating_feasible,config
1,AstraSim (tp/pp/dp),4,177.06311348848084,True,"tp=256,ep=1,dp=1,pp=1"
1,AstraSim (tp/pp/dp),1024,5729.181520209724,True,"tp=8,ep=1,dp=1,pp=32"
2,+ Full Parallel,4,256.37285780013974,True,"tp=16,ep=16,dp=1,pp=1"
2,+ Full Parallel,1024,21252.311015270006,True,"tp=2,ep=64,dp=1,pp=2"
3,+ Flexible Parallelism Across Module,4,256.37285780013974,True,"tp=16,ep=16,dp=1,pp=1"
3,+ Flexible Parallelism Across Module,1024,24487.83040297769,True,"tp=4,ep=32,dp=1,pp=2,moe=repl"
4,+ Search On-chip Architecture,4,314.15738787144835,True,"tp=16,ep=16,dp=1,pp=1"
4,+ Search On-chip Architecture,1024,31349.85852184557,True,"tp=4,ep=32,dp=1,pp=2,moe=repl"
5,+ Comm-Comp Overlap,4,340.5250823898048,True,"tp=16,ep=16,dp=1,pp=1"
5,+ Comm-Comp Overlap,1024,38061.03712215104,True,"tp=4,ep=32,dp=1,pp=2,moe=repl"
6,+ Stacking DSE,4,493.2866073182603,True,"tp=16,ep=16,dp=1,pp=1,moe=repl,m=10,n=10,smem=256K,l1=1024B"
6,+ Stacking DSE,1024,51094.46116387095,True,"tp=4,ep=32,dp=2,pp=1,moe=repl,m=7,n=7,smem=128K,l1=1024B"
7,+ NoC DSE,4,494.12063839409694,True,"tp=16,ep=16,dp=1,pp=1,moe=repl,L1=0.7,L2=0.9,L3=1.9"
7,+ NoC DSE,1024,54280.32833092559,True,"tp=4,ep=32,dp=2,pp=1,moe=repl,L1=1.9,L2=0.4,L3=1.7"
