dram_total_layers,dram_active_layers,sm_count,smem_capacity_KiB,l1_throughput_Bpc,arch,noc,model,bs,minibatch,seq,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,kv_len_1,kv_len_2,kv_len_3,kv_len_4,scaled_stps_avg
7,7,6,128,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,16,16,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,468.8180200601971
8,8,4,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,16,16,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,481.8796689478728
9,9,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,16,16,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,492.8032713239873
9,9,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,473.5280594817268
9,9,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,8,32,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,469.5425795040672
9,9,4,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,16,16,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,492.8032713239873
9,9,4,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,473.5280594817268
9,9,4,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,8,32,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,469.5425795040672
10,10,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,16,16,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,493.2866073182603
10,10,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,474.0670988784124
10,10,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,8,32,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,470.2306789713916
10,8,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,16,16,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,492.49475943627056
10,8,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,473.2629226812071
10,8,4,256,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,8,32,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,469.3057705554148
10,8,4,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,16,16,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,492.49475943627056
10,8,4,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,473.2629226812071
10,8,4,512,1024,stacked_gpu_wgmma,torus_mesh_switch_1,DeepSeekV3,4,4,1,8,32,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,469.3057705554148
